* Ensemble de règles qui régissent les rapports des membres d’une même société. Qui suis-je ? 	Le Droit.
* Le droit du travail est une branche de droit privé. Vrai ou faux ?	Vrai.
* Une règle obligatoire est nécessairement assortie d’une sanction. Vrai ou faux ?	Vrai.
* La capacité juridique est l’aptitude d’une personne à être titulaire de droits et à être soumise à des obligations. Vrai ou faux ?	 Faux, la définition donnée est celle de la personnalité juridique.
* Lister les éléments d’identification d’une personne morale.	Une personne morale est identifiable à partir de sa dénomination sociale, le lieu de son siège social et sa nationalité. (Le « nom de l’entreprise » et « son domicile » ne sont pas admis).
** Indiquer les conséquences de l’obtention de la personnalité juridique pour une personne morale.	Elle devient une personne distincte des personnes qui la composent. Elle obtient alors le droit de détenir un patrimoine, d’ester en justice, de conclure des contrats et sera soumise à des obligations.
** Proposez 2 raisons différentes expliquant l’usurpation de l’identité juridique de quelqu’un.	 Pour régulariser sa situation au regard de l’immigration, pour accéder aux finances de la personne usurpée, pour commettre un délit ou un crime en son nom, pour accéder à des droits de façon indue.
* Préciser la spécificité de la loi LOPPSI 2 du 14 mars 2011.	Elle créé un délit spécifique pour l’usurpation d’identité numérique.
* Indiquer la place de la Constitution française dans la hiérarchie des normes.	Ce texte est au sommet de la hiérarchie des normes.
** Une loi promulguée est directement applicable sur le territoire français. Vrai ou Faux ?	Faux, le texte doit encore être publié au Journal Officiel. Il est ensuite applicable un jour franc après publication.
* Définir la jurisprudence.	C’est l’ensemble des décisions prises par les juges et qui permettent l’interprétation de la règle de droit.
* Indiquer de quelle branche de droit sont issues les conventions collectives.	En droit du travail.
** La justice française est organisée selon le principe du double degré de juridiction. Expliquer ce principe.	Cela signifie qu’un citoyen peut demander à la justice que son affaire soit entendue deux fois, en 1ère instance puis en appel.
** Lister les litiges pris en charge par les juridictions administratives.	Elles gèrent 2 types de litiges : les conflits entre les citoyens et les administrations d’une part et les conflits des administrations entre elles d’autres parts.
** Citer le nom des tribunaux qui prennent en charge les infractions pénales. 	En droit pénal, le tribunal de police prend en charge les contraventions, le tribunal correctionnel les délits et la Cour d’assises les crimes.
* Indiquer le nom des parties au procès devant une Cour d’appel.	Le demandeur est appelé l’appelant et le défendeur est l’intimé.
** Expliquer comment déterminer si une affaire civile doit être traitée par le juge de proximité, le TI ou le TGI.	La répartition dépend du montant des dommages et intérêts demandés : Le juge de proximité = <4000€, le TI = entre 4000€ et 10 000€ et le TGI = >10 000€.
*** Julie, avocate, est en conflit avec l’entreprise de vidéosurveillance qui lui a installé son système de sécurité. Choisir le tribunal compétent pour régler le litige. (cas pratique)	Julie n’exerce pas dans son domaine d’activité en faisant installer une caméra. Elle est donc consommateur. Le juge de proximité ou le TI seront compétents.
** Distinguer acte juridique et fait juridique.	Acte juridique = acte volontaire dont les conséquences sont voulues, acceptées par les parties. Fait juridique = évènement voulu ou non dont les conséquences ne sont pas voulues.
** Expliquer ce qu’est une preuve par écrit au sens de l’article 1316 du code civil.	 « La preuve littérale, ou preuve par écrit, résulte d’une suite de lettres, de caractères, de chiffres ou de tous autres signes ou symboles dotées d’une signification intelligible. »
** Expliquer ce qu’est-une signature électronique.	C’est une signature composée d’une clé publique et d’une clé privée qui permet d’authentifier un document électronique.
* Expliquer ce que signifie l’expression « Par ces motifs, casse et annule ».	 La Cour de cassation s’oppose à l’arrêt rendu par la Cour d’appel.
* Nommer les parties devant la Cour de cassation.	On les appelle le demandeur au pourvoi et le défendeur au pourvoi.
* Ma page Facebook est un élément de mon identité juridique. Vrai ou faux ?	Faux, Elle est un élément de l’identité numérique.
* Définir le Droit.	 Le droit est un ensemble de règles obligatoires visant à organiser les relations que les hommes entretiennent entre eux afin qu’ils puissent vivre harmonieusement en société.
* Le droit fiscal est une branche de droit privé. Vrai ou faux ?	Faux, c’est une branche de droit public.
* Précisez la signification du principe de la neutralité technologique.	C’est un principe selon lequel la loi doit donner à toutes les techniques la même reconnaissance juridique (écrit, oral ou électronique).
* Trouvez le bon mot :	Aptitude d’une personne à être titulaire de droits et à être soumise à des obligations. La personnalité juridique.
* Précisez quand commence et quand fini la personnalité juridique d’une personne physique.	La personnalité juridique d’une personne physique apparaît au jour de sa naissance, si elle naît vivante et viable, et disparaît au jour de son décès.
* Donner une définition de l’identité juridique.	C’est l’ensemble des données qui permettent de différencier les sujets de droit les uns des autres. L’identité donne une individualité à chacun.
** Définir l’identité numérique.	 C’est une identité complexe constituée des informations que l’individu créé lui-même (avatar, inscription sur site,…), des informations que les autres écrivent sur lui et des traces qu’il laisse en naviguant sur le net.
*** Expliquer comment était sanctionnée l’usurpation d’identité numérique avant la loi LOPPSI 2 du 14 mars 2011.	Ce délit devait être associé à une autre infraction telle que l’espionnage ou le vol. Mais ces infractions étaient difficiles à prouver. L’usurpation d’identité n’était donc pas une infraction autonome.
** Citer les trois textes évoqués dans le préambule de la Constitution française de la 5ème République.	Il s’agit de la Déclaration des Droits de l’Homme et du Citoyen, du préambule de la Constitution de 1946 et de la Charte de l’environnement de 2004.
* Expliquer l’utilité des règlements (décrets, arrêtés).	Ces textes émanant du pouvoir exécutif permettent d’appliquer les lois sur le territoire (décret d’application) ou de prendre des mesures administratives.
* Lorsqu’une jurisprudence évolue/change, on parle de revirement de jurisprudence. Vrai ou Faux ?	VRAI
*** Représenter sous la forme d’un schéma la hiérarchie des normes.	Au sommet, la constitution, puis les traités et droit communautaire, ensuite les lois, enfin les règlements. Ne pas oublier les autres sources : jurisprudence, doctrine, us et coutumes. (schéma de la pyramide est obligatoire).
** Expliquer les particularités d’un jugement en 1er et dernier ressort.	C’est un jugement qui n’est pas susceptible d’appel. Il constitue une exception au principe de double degré de juridiction. Il concerne les affaires dont la créance est inférieure à 4000€.
*** Définir le principe du contradictoire.	Principe de fonctionnement de la justice française qui signifie que chaque partie au procès a le droit d’être entendue (à l’écrit ou à l’oral) par le juge afin de défendre sa position.
** Mme X se pourvoit en cassation contre l’arrêt rendu par la CA de Reims. Préciser le type de décision que la Cour de cassation peut prendre en l’espèce.	La Cour de cassation peut prononcer soit le REJET du pourvoi, soit la CASSATION de l’arrêt d’appel.
** Préciser les particularités de la Cour de cassation.	C’est la Cour suprême. A ce titre, elle ne statue qu’en droit.
* Préciser si les décisions prises en Cour d’assises sont-elles susceptibles d’appel.	Oui
* Deux entreprises informatiques ont décidé par contrat de régler leurs éventuels litiges à l’amiable. Quels MARC ont-elles pu choisir ?	Elles ont pu choisir la médiation, la conciliation ou l’arbitrage.
* Expliquer si un acte juridique est nécessairement écrit.	Non Certains contrats sont oraux. La plupart des actes juridiques sont consensuels.
