* Définir l’entreprise. 	Ensemble structuré d'éléments matériels, humains et financiers organisés en vue de produire des biens et des services destinés à être vendus. 
** Distinguer les petites, les moyennes et les grandes entreprises. 	- Petite entreprise = entre 10 et 49 salariés, - Moyenne entreprise = entre 50 et 249 salariés - Grande entreprise = entre 250 et 1999 salariés. 
** Expliquer la répartition des coûts de production des constructeurs informatiques. 	Répartition traditionnelle des coûts de production : les coûts variables augmentent à mesure de l’augmentation des quantités produites tandis que les coûts fixes évoluent par palier. 
* Je suis un lieu sur lequel se rencontrent les agents économiques pour échanger. Qui suis-je ? 	Le marché. 
*** Donner deux raisons pour lesquelles les agents économiques échangent entre eux. 	1/ Raison économique : acquérir des biens que l’on ne peut fabriquer soi-même 2/ Raison sociale : éviter l’affrontement pour obtenir des biens. 
** Définir l’homogénéité. 	C‘est l’une des conditions d’un marché concurrentiel : le demandeur s’intéresse davantage aux caractéristiques du produit qu’à la marque. Les produits sont perçus de manière similaire pour l’acheteur qui cherche avant tout à satisfaire un besoin. 
* Je suis un agent économique qui acquière un bien, un service, du capital ou du travail sur le marché. Qui suis-je ? 	Je suis un demandeur. 
* Donner une définition de la monnaie fiduciaire. 	Fiducia = confiance Il s’agit des pièces et des billets. 
** Présenter les quatre conditions d’un marché concurrentiel. 	Un marché est concurrentiel si quatre conditions sont réunies : l’atomicité de l’offre, l’homogénéité des produits, la transparence des prix et la fluidité d’accès au marché. + Explications. 
* Déterminer l’évolution de l’offre si le prix augmente. 	L’offre augmente. 
* Présenter les caractéristiques d’un monopole. 	Marché avec un seul offreur pour une multitude de demandeurs. Sur ce type de marché, seul l’offreur fixe le prix (donc à un niveau potentiellement supérieur au prix d’équilibre). 
** Définir la notion de décision telle qu’elle a été proposée par Mintzberg. 	Une décision, c’est mettre en œuvre un processus, qui aboutira, in fine, à un choix permettant de réduire l’incertitude et donc d’orienter l’avenir. 
** Lister les différentes étapes du processus de prise de décision. 	Déterminer le besoin / le problème, rechercher des solutions à ce problème en fonction des contraintes (budget /prix, +, -), choisir une solution à tester, observer l’effet obtenu et comparer avec l’effet attendu, choisir les éventuelles actions correctives pour atteindre l’objectif fixé. 
** Citer les quatre qualités que doit revêtir une information pour être utile à la prise de décision. 	Elle doit être pertinente, fiable, actualisée et disponible. 
