* Je suis une entité coordonnant des activités et développant des procédures pour atteindre des buts spécifiques (économiques, sociaux ou politiques). Qui suis-je ? 	Une organisation.
** Définir le concept de RSE.	RSE : responsabilité sociale de l’entreprise C’est une déclinaison du concept de développement durable au sein de l’entreprise.
** Expliquer la relation client-fournisseur interne.	 C’est la relation qu’entretiennent les services de l’entreprise entre eux afin d’améliorer le processus de circulation de l’information et de production de l’entreprise. Chaque service est le client et le fournisseur d’un autre service.
* Identifier la forme de la pyramide des âges lorsque l’entreprise dispose d’un effectif sénior.	Une pyramide en champignon.
** Déterminer si la capacité de l’entreprise à utiliser et à déployer des ressources pour atteindre un objectif donné correspond à son métier ou à ses compétences.	À ses compétences + explication
** Définir une connaissance.	C’est une information collectée par l’entreprise/l’individu et qu’elle/il sait réutiliser dans un autre contexte et au bon moment.
* Nommer le processus par lequel l’entreprise va cheminer pour déterminer sa stratégie, la mettre en œuvre et la contrôler.	 On parle de démarche stratégique.
** Caractériser un domaine d’activité stratégique.	 Par un ensemble homogène de produits, destinés à un marché spécifique, ayant des concurrents déterminés.
** Nommer l’outil permettant de représenter le diagnostic stratégique de manière synthétique.	A travers la matrice (tableau) SWOT : · Diagnostic interne : forces et faiblesses · Diagnostic externe : opportunités et menaces.
*** Proposer 3 raisons expliquant pourquoi une entreprise peut opter pour la stratégie de diversification.	Pour s’ouvrir à de nouveaux marchés et trouver de nouveaux débouchés, répartir les risques sur différentes activités, profiter d’effets de synergie, préparer le futur, concurrencer un rival, compenser la saisonnalité des activités de l’entreprise, réaliser des placements financiers,…
*** Citer deux avantages et deux inconvénients de la stratégie d’intégration verticale.	+ : maîtrise des technologies, des approvisionnements et/ou des débouchés, économies d’échelles, effets de synergie - : stratégie coûteuse car nécessite un développement par croissance externe, problème d’intégration de l’entreprise rachetée.
*** Expliquer la stratégie de domination par les coûts.	La stratégie de domination par les coûts consiste à dominer les concurrents grâce à un prix de vente très compétitif permettant d’augmenter la marge ou de diminuer le prix de vente.
*** Expliquer ce qu’est une stratégie de focalisation.	Stratégie qui consiste pour l’entreprise à se recentrer sur une activité, un produit. L’entreprise concentre ses efforts pour profiter d’une niche commerciale.
*** Dans une structure organisationnelle, préciser quels services de l’entreprise sont considérés comme des supports logistiques pour Mintzberg.	Ce sont tous les services de l’entreprise qui participent indirectement à la production et qui permettent de faire fonctionner l’entreprise : RH, comptabilité, relations publiques, marketing, contentieux,…
* Le DRH définit le profil pour occuper tel poste de travail. Déterminer s’il s’agit d’une standardisation des résultats ou d’une standardisation des qualifications.	Standardisation des qualifications.
* Chez IBM, le costume est de rigueur pour les hommes comme pour les femmes. Déterminer s’il s’agit de standardisation des procédés ou de standardisation des normes.	Standardisation des normes (liée à la culture de l’entreprise).
** Présenter la structure matricielle.	C’est une structure qui cherche à exploiter le plus efficacement possible ses ressources en les mettant à disposition des différents services qui en a besoin.
** Donner la définition du système d’information (SI).	Le SI est un ensemble organisé de ressources : matériels, logiciel, personnel, données, procédures, permettant d’acquérir, de traiter, de stocker des informations sous forme de données, textes, images, sons,… dans et entre des organisations.
** Rappeler sur quelle théorie s’appuie l’approche par les processus mise en place dans les entreprises aujourd’hui.	L’approche par les processus s’appuie sur la théorie de la chaîne de valeur de M Porter.
** Présenter les différents types de processus qui peuvent exister au sein d’une organisation.	Il peut exister des processus de réalisation (processus opérationnels), des processus de support (processus de soutien) et des processus managériaux (processus de pilotage et de direction)
** Pour Likert, les dirigeants peuvent adopter quatre styles différents de management. Lesquels ?	Les dirigeants peuvent adopter : un style autoritaire, paternaliste, consultatif ou participatif.
* Préciser ce qu’est un risque.	C’est un danger, un inconvénient plus ou moins prévisible.
** Citer trois modalités utiles pour gérer les incompétences ou les négligences qui affectent le système d’information.	Sensibilisation et formation du personnel, MAJ des droits d’accès, rédaction d’une charte informatique, effacement des données des matériels mis au rebut, définition du plan de sauvegarde des données, vérification de la conformité des pratiques à la législation, …
** Présenter le concept d’alignement stratégique.	C’est une pratique qui consiste à mettre en cohérence le SI de l’entreprise avec la stratégie qu’elle a décidé d’adopter. L’informatique devient alors un maillon important de la chaîne de valeur.
* L’alignement stratégique du SI sur sa stratégie nécessite de passer par l’urbanisation du SI. Vrai ou Faux ?	Faux, c’est conseillé mais pas obligatoire.
*** Nestlé-Bourgogne a choisi de confier la gestion de son parc informatique auprès d’un prestataire spécialisé. Identifier la stratégie choisie par l’entreprise.	Stratégie de recentrage et plus précisément une stratégie d’externalisation.
*** Depuis 20 ans l’entreprise GnéTIC mise tout sur le service après-vente, la maintenance, l’accompagnement du client. Identifier la stratégie choisie par l’entreprise.	La stratégie de différenciation.
* Citer les différents types d’organisation que vous connaissez.	 L’entreprise, l’administration et l’association.
** Définir la notion d’objectif.	C’est un résultat chiffré que l’organisation pense pouvoir atteindre à une date donnée, avec des moyens définis (matériels, humains et financier).
** Distinguer ressource tangible et ressource intangible.	Donner un exemple de chaque. Tangible : palpable, évaluable en quantité (l’effectif, les ordinateurs, les locaux,…) Intangible : immatérielle, impalpable (brevets, réputation, image,…)
* Identifier la forme de la pyramide des âges lorsque l’entreprise dispose d’un effectif à la fois jeune et sénior.	Une pyramide en pelote de laine.
** Définir le concept de « core competences » ou compétences distinctives.	C’est un concept développé par PRAHALAD et HAMEL. Ce sont des compétences qui résultent de l’apprentissage collectif de l’entreprise et qui lui permettent de développer des facteurs clé de succès.
*** Présenter la spirale du savoir de Nonaka et Takeuchi.	Théorie permettant d’expliquer que pour apprendre, l’individu assimile des connaissances explicites qu’il intériorise. Elles deviennent alors des connaissances tacites. Celles-ci doivent alors être retranscrites par écrit pour être utilisables par d’autres. Les connaissances deviennent alors explicites.
* Rappeler l’origine du terme stratégie.	 C’est un terme militaire.
** Préciser la particularité de l’entreprise qui opte pour une stratégie de spécialisation.	 Elle est concentrée sur un seul DAS, un seul type d’activité.
** Lister les caractéristiques d’une décision stratégique.	C’est un choix effectué par la direction, qui engage l’entreprise sur le long terme et qui est difficilement réversible.
*** Présenter deux inconvénients de la stratégie de diversification.	Dispersion des compétences, complexité de gestion, coûts élevés, risque de dilution de l’identité de l’entreprise, risque d’échec de la nouvelle activité et donc risque de répercussion d’une image défavorable sur l’ensemble de l’entreprise.
*** Les entreprises évoluent dans leur filière. Définir le terme « filière ».	Une filière est un réseau d’entreprises ayant des activités complémentaires (chaîne de fournisseurs et de clients successifs) qui permettent de passer de la matière première au produit fini.
** Une stratégie de domination par les coûts peut se décliner de deux manières différentes. Lesquelles ? 	La stratégie d’efficience (produire de manière plus efficace) et la stratégie de volume (réaliser des économies d’échelle pour diminuer le coût unitaire de production)
** Expliquer ce qu’est la structure d’une entreprise en vous appuyant sur les travaux de Mintzberg.	C’est l’architecture générale de l’entreprise. Elle peut se définir comme un ensemble de dispositifs permettant de répartir, coordonner et contrôler les activités, et d’orienter le comportement des hommes dans le cadre des objectifs de l’entreprise.
*** Le choix d’une structure organisationnelle dépend de différentes variables. Citer en quatre différents.	La structure dépend de l’âge de l’entreprise, de sa taille, de sa place sur le marché, de sa stratégie, des technologies qu’elle incorpore.
* Un directeur de magasin demande à un contrôleur de gestion de sortir un état des stocks. Déterminer s’il s’agit de supervision directe ou d’un ajustement mutuel.	Supervision directe.
*** Expliquer ce qu’est ce qu’une structure adhocratique.	C’est une structure suffisamment souple pour favoriser l’innovation : peu de ligne hiérarchique, une technostructure importante, et des groupes de projets pluridisciplinaires.
** Présenter la structure par projet.	C’est une structure qui réunit autour d’un objectif commun une équipe de personnes aux compétences variées. C’est une structure temporaire créé en parallèle d’une structure plus traditionnelle.
